一尺寒光|yī chǐ hán guāng
一尺水十丈波|yī chǐ shuǐ shí zhàng bō
一尺水翻腾做一丈波|yī chǐ shuǐ fān téng zuò yī zhàng bō
一尺水翻腾做百丈波|yī chǐ shuǐ fān téng zuò bǎi zhàng bō
一尺水，一丈波|yī chǐ shuǐ，yī zhàng bō
一尺水，百丈波|yī chǐ shuǐ，bǎi zhàng bō
一山不藏二虎|yī shān bù cáng èr hǔ
一岁三迁|yī suì sān qiān
一岁九迁|yī suì jiǔ qiān
一岁再赦|yī suì zài shè
一岁载赦|yī suì zài shè
一川风月|yī chuān fēng yuè
一差两讹|yī chà liǎng é
一差两误|yī chā liǎng wù
一差二悮|yī chà èr wù
一差二误|yī chà èr wù
一差二错|yī chà èr cuò
一差半错|yī chà bàn cuò
一差百错|yī chā bǎi cuò
一己之私|yī jǐ zhī sī
一己之见|yī jǐ zhī jiàn
一帆顺风|yī fān shùn fēng
一帆风顺|yī fán fēng shùn
一席之地|yī xí zhī dì
一干一方|yī gān yī fāng
一干二净|yī gān èr jìng
一干人犯|yī gān rén fàn
一年一回|yī nián yī huí
一年一度|yī nián yī dù
一年之计在于春|yī nián zhī jì zài yú chūn
一年到头|yī nián dào tóu
一年半载|yī nián bàn zǎi
一年被蛇咬，三年怕草索|yī nián bèi shé yǎo，sān nián pà cǎo suǒ
一年被蛇咬，三年怕草绳|yī nián bèi shé yǎo，sān nián pà jǐng shéng
一年被蛇咬，十年怕井绳|yī nián bèi shé yǎo，shí nián pà jǐng shéng
一床两好|yī chuáng liǎng hǎo
一床锦被遮盖|yī chuáng jǐn bèi zhē gài
一应俱全|yī yīng jù quán
一度著蛇咬，怕见断井索|yī dù zhāo shé yǎo，pà jiàn duàn jǐng suǒ
一座尽倾|yī zuò jìn qīng
一座尽惊|yī zuò jìn jīng
一座皆惊|yī zuò jiē jīng
一廉如水|yī lián rú shuǐ
一式一样|yī shì yī yàng
一弛一张|yī chí yī zhāng
一张一弛|yī zhāng yī chí
一弹指间|yī tán zhǐ jiān
一弹指顷|yī tán zhǐ qǐng
一当两便|yī dāng liǎng biàn
一彻万融|yī chè wàn róng
一彼一此|yī bǐ yī cǐ
一往情深|yī wǎng qíng shēn
一往无前|yī wǎng wú qián
一往深情|yī wǎng shēn qíng
一往直前|yī wǎng zhí qián
一往而深|yī wǎng ér shēn
一律千篇|yī lǜ qiān piān
一得两便|yī dé liǎng biàn
一得之功|yī dé zhī gōng
一得之愚|yī dé zhī yú
一得之见|yī dé zhī jiàn
一微尘|yī wēi chén
一德一心|yī dé yī xīn
一心一力|yī xīn yī lì
一心一德|yī xīn yī dé
一心一意|yī xīn yī yì
一心一腹|yī xīn yī fù
一心一计|yī xīn yī jì
一心一路|yī xīn yī lù
一心两用|yī xīn liǎng yòng
一心为公|yī xīn wéi gōng
一心同体|yī xīn tóng tǐ
一心同功|yī xīn tóng gōng
一心同归|yī xīn tóng guī
一心挂两头|yī xīn guà liǎng tóu
一心无二|yī xīn wú èr
一心百君|yī xīn bǎi jūn
一念之差|yī niàn zhī chā
一念之私|yī niàn zhī sī
一念之误|yī niàn zhī wù
一念之错|yī niàn zhī cuò
一念通天|yī niàn tōng tiān
一怀愁绪|yī huái chóu xù
一息万变|yī xī wàn biàn
一息千里|yī xī qiān lǐ
一息奄奄|yī xī yǎn yǎn
一息尚在|yī xī shàng zài
一息尚存|yī xī shàng cún
一恸几绝|yī tòng jī jué
一恸欲绝|yī tòng yù jué
一悲一喜|yī bēi yī xǐ
一惊非小|yī jīng fēi xiǎo
一意孤行|yī yì gū xíng
一成一旅|yī chéng yī lǚ
一成不变|yī chéng bù biàn
一成不易|yī chéng bù yì
一手一脚|yī shǒu yī jiǎo
一手一足|yī shǒu yī zú
一手包办|yī shǒu bāo bàn
一手包揽|yī shǒu bāo lǎn
一手托天|yī shǒu tuō tiān
一手擎天|yī shǒu qíng tiān
一手独拍|yī shǒu dú pāi
一手独拍，虽疾无声|yī shǒu dú pāi，suī jí wú shēng
一手运承|yī shǒu yùn chéng
一手遮天|yī shǒu zhē tiān
一手障天|yī shǒu zhàng tiān
一扫无遗|yī sǎo wú yí
一扫而光|yī sǎo ér guāng
一扫而尽|yī sǎo ér jìn
一扫而空|yī sǎo ér kōng
一技之善|yī jì zhī shàn
一技之微|yī jì zhī wēi
一技之长|yī jì zhī cháng
一技无成|yī jì wú chéng
一把手|yī bǎ shǒu
一把死拿|yī bǎ sǐ ná
一把钥匙开一把锁|yī bǎ yào shi kāi yī bǎ suǒ
一抔之土|yī póu zhī tǔ
一抔土|yī póu tǔ
一抔黄土|yī póu huáng tǔ
一报还一报|yī bào huán yī bào
一抹黑|yī mā hēi
一拉一唱|yī lā yī chàng
一拍一吻缝|yī pāi yī wěn fèng
一拍即合|yī pāi jí hé
一拥而上|yī yōng ér shàng
一拥而入|yī yōng ér rù
一指禅|yī zhǐ chán
一指蔽目|yī zhǐ bì mù
一指蔽目，不见泰山|yī zhǐ bì mù，bù jiàn tài shān
一挥九制|yī huī jiǔ zhì
一挥千金|yī huī qiān jīn
一挥立就|yī huī lì jiù
一挥而就|yī huī ér jiù
一挥而成|yī huī ér chéng
一损俱损，一荣俱荣|yī sǔn jù sǔn，yī róng jù róng
一掊土|yī póu tǔ
一掌堙江|yī zhǎng yīn jiāng
一掌遮天|yī zhǎng zhē tiān
一接如旧|yī jiē rú jiù
一推两搡|yī tuī liǎng sǎng
一推六二五|yī tuī liù èr wǔ
一掴一掌血|yī guó yī zhǎng xuè
一掷乾坤|yī zhì qián kūn
一掷千金|yī zhì qiān jīn
一掷巨万|yī zhì jù wàn
一掷百万|yī zhì bǎi wàn
一揽包收|yī lǎn bāo shōu
一搭一档|yī dā yī dàng
一搭两用|yī dā liǎng yòng
一攫千金|yī jué qiān jīn
一支半节|yī zhī bàn jié
一改故辙|yī gǎi gù zhé
一文不值|yī wén bù zhí
一文不名|yī wén bù míng
一文如命|yī wén rú mìng
一文莫名|yī wén mò míng
一文钱逼死英雄汉|yī wén qián bī sǐ yīng xióng hàn
一文钱难倒英雄汉|yī wén qián nán dǎo yīng xióng hàn
一斑半点|yī bān bàn diǎn
一斑窥豹|yī bān kuī bào
一斗米养个恩人，一石米养个仇人|yī dǒu mǐ yǎng gè ēn rén，yī dàn mǐ yǎng gè chóu rén
一斛凉州|yī hú liáng zhōu
一斥不复|yī chì bù fù
一新耳目|yī xīn ěr mù
一新面目|yī xīn miàn mù
一方之任|yī fāng zhī rèn
一方之寄|yī fāng zhī jì
一方之艺|yī fāng zhī yì
一无可取|yī wú kě qǔ
一无忌惮|yī wú jì dàn
一无所取|yī wú suǒ qǔ
一无所失|yī wú suǒ shī
一无所好|yī wú suǒ hào
一无所得|yī wú suǒ dé
一无所成|yī wú suǒ chéng
一无所有|yī wú suǒ yǒu
一无所求|yī wú suǒ qiú
一无所知|yī wú suǒ zhī
一无所能|yī wú suǒ néng
一无所获|yī wú suǒ huò
一无所见|yī wú suǒ jiàn
一无所长|yī wú suǒ cháng
一无所闻|yī wú suǒ wén
一无是处|yī wú shì chù
一无牵挂|yī wú qiān guà
一无长物|yī wú cháng wù
一日万几|yī rì wàn jǐ
一日万机|yī rì wàn jī
一日万里|yī rì wàn lǐ
